Total,Latitude,Longitude


1089,42.8993650672,3.02676038573
2095,44.8806327764,2.03547276303
13,48.747640463,6.47273971333
45,49.4777178239,0.301065445929
27,46.3291248847,3.21707091921
38,48.2366504401,1.02792441815
25,49.0416813347,-1.17448957334
1335,48.1550192582,7.23808768656
37,49.9256314774,2.76317841426
62,48.911287302,0.845987853541
19,48.4173130249,-1.62400476475
30,47.1017956393,6.55927911483
16,48.9884543081,6.86904472208
10,46.2172909716,4.63812595224
23,48.7435666584,5.06993719945
28,48.239955028,7.62929125209
23,47.4596587023,6.25631932955
34,48.2846714834,-1.89382613494
13,49.6161969407,5.22890359934
9,44.7460542854,-0.024421737317
98,50.6820809996,3.0005883762
17,49.9924551007,2.92163834053
4,47.1923530419,4.48684407065
18,44.5400904645,4.85331314988
25,48.4980971712,-3.66516986251
9,49.6783296824,3.85162740345
13,48.6330383742,5.37144035596
119,45.5919139674,2.99779544156
101,48.3159462288,2.56669707188
27,44.3877412529,1.58297001651
22,46.7487669868,5.42262133247
28,49.4497696397,4.2922571776
88,50.0568483332,4.74702825636
7,43.2803464506,0.270777277359
119,42.5010890315,2.27403031665
21,49.8050247312,0.716586925747
40,43.250190518,2.45343864014
6,48.9412455696,1.02129449463
38,43.6898005202,3.11179486832
14,49.6585527629,0.670389261558
14,46.3106483119,4.66614748504
15,49.0382020834,7.71349059998
14,43.3973278254,2.60178289175
54,45.4314531462,-0.633076943744
27,48.8449357716,-3.09870207936
3,48.8482925248,5.95195681774
60,48.102555202,5.28581680401
19,48.7292658425,-1.09806431434
23,47.8531681217,7.51760806653
16,48.9986501647,6.77863114276
1,49.1101920701,6.34230552342
28,49.357283338,3.29549391938
33,47.8353968876,-2.06653226615
12,47.5819931692,6.47563792817
29,46.5579151463,1.57409340054
4,48.9990933177,5.37408151001
20,50.5495900938,2.96246977042
6,42.5134541453,2.61842052411
2,48.6261229757,-0.143899474106
42,47.1411198846,-0.212881943742
117,49.5340250071,4.24761875411
40,43.0893654385,2.78310314277
41,49.0532147787,7.13000666752
3,47.8136847101,1.14871194274
15,48.5619591921,6.09070968141
15,50.5216866473,1.69918169379
34,44.092111179,2.76570045651
3,43.3126964178,5.36364983265
15,45.0680531923,6.05570708995
12,43.3222665444,0.155031547361
180,43.4826602247,2.63557921234
224,43.5824524921,2.01685800368
5,47.7561639307,4.66343630237
20,48.3948985787,-1.0831112937
49,44.6218474674,0.203943341999
21,42.513691127,1.92704781601
4,42.8723925904,0.352853993495
9,43.3097711576,-0.552973788897
301,43.3217608814,3.04813542922
90,44.1878890197,0.805532157902
28,47.471221085,7.35426920399
3,49.2813295252,5.50984611095
66,50.0343460681,3.20211189134
336,44.0335256003,4.9847476645
12,44.6061471898,1.88882538803
3,49.3713339748,4.67168297398
20,48.3363931415,5.12108418016
37,48.3590646091,1.32280842634
394,50.3261545044,3.53764264287
4,42.7815593895,1.67722786249
157,43.4554029916,5.01494725455
16,43.3907261571,-0.527272938618
74,43.5406415198,-0.676491082021
34,46.6331048496,5.10253971611
148,45.4344225439,2.54974390079
2,43.531445482,2.47366636477
13,48.6009118806,4.76140676125
13,49.3719294322,-1.69334065015
15,49.5546561276,-1.73523737028
